# Version: 1.11,,,,,,,,,,
TourType,GalleryID,CardID,LegacyStopKey,CardTitle,Section1Title,Section1Bullets,Section2Title,Section2Bullets,Section3Title,Section3Bullets
Stem Tour,ORIENTATION,GUITARS,Orientation,Guitars,Concept,THE PLUCKED string instruments make sound when stretched strings vibrate,Key talking points,"A guitar is a plucked lute;Players change pitch by shortening the vibrating length of the string;String tension, length, diameter, and density all affect frequency;Resonator bodies help project the sound;Different cultures create sound using the same basic physics in different ways",Questions / engagement,How do you play a guitar?;How do musicians create different notes on a guitar?;What makes one string sound higher or lower than another?
Stem Tour,ORIENTATION,ORIENTATION,Orientation,Orientation,Concept,"Instruments can express identity and their materials, size, and shape affect how they sound",Key talking points,The alphorn represents Swiss identity and the hardingfele reflects Norwegian cultural identity;Humans have been making instruments for tens of thousands of years;Instruments can be built from natural or synthesized materials;Design choices help create specific sounds;Some instrument designs are visually striking as well as acoustically useful,Questions / engagement,"Which instruments suggest a nation, local area, or personal identity?;How long have humans been making instruments?;Which instruments here have especially interesting designs?"
Stem Tour,RES_CART,REASONATOR_CART,Reasonator Cart,Reasonator Cart,Concept,A resonator helps us hear sound more clearly by transferring vibrations to a larger object,Key talking points,Students compare how a music box sounds with different surrounding materials;A hard container can make the music box sound louder;The activity sets up the later resonator discussion;The goal is to notice how materials around a sound source affect loudness,Questions / engagement,What role does a resonator play in helping us hear sound from an instrument?;Which material makes the music box louder?;Does it matter where the box or foam is placed?
Stem Tour,AFRICA,MALI_OR_BURKINA_FASO,Africa,Mali or Burkina Faso,Concept,Resonators make instruments sound louder and strongly shape timbre,Key talking points,"Resonance happens when vibrating energy is efficiently transferred to another object or air column;Resonators can be boxes, gourds, tubes, membranes, or other structures;Resonators change both loudness and tone color;If too much energy is transferred the sound can distort;Some African instruments intentionally include objects that create a desirable buzzing or distorted quality",Questions / engagement,How do resonators work?;Why do resonators make instruments louder?;Why might musicians want a distorted sound?
Stem Tour,ELEC_CART,ELECTRICITY_AND_CIRCUITS_CART,Electric Cart,Electricity and Circuits Cart,Concept,A stylophone works because it is both a musical instrument and an electrical circuit,Key talking points,Students predict how the stylophone works before it is demonstrated;The activity connects the stylophone to basic circuit ideas;The energy stick activity shows that a complete circuit can produce light and sound;Conductive materials and human bodies can help complete a circuit;This activity prepares students for the electricity and magnetism gallery content,Questions / engagement,How does a stylophone work?;What connects the stylus to the stylophone?;What materials conduct electricity?
Stem Tour,US_CAN,AMPLIFIED_GUITARS,United States / Canada,Amplified Guitars,Concept,Electric guitar pickups and related devices convert motion in a magnetic field into electrical signals,Key talking points,Acoustic guitars depend on mechanical energy and a resonator;Electric guitars typically rely on amplification rather than a hollow body;A vibrating steel string disturbs the magnetic field around a pickup;That disturbance generates electricity in the coil of wire;The same core principle is used in microphones and many other technologies,Questions / engagement,How are acoustic and electric guitars different?;What role do magnets play in pickups?;Can you find the exhibit's oldest electric guitar?
Stem Tour,US_CAN,ELECTRONIC_MUSIC,United States / Canada,Electronic Music,Concept,Electronic instruments generate sound electronically and can be shaped in ways acoustic instruments cannot,Key talking points,Synthesizers use oscillators to create electrical vibrations;Waveforms can be filtered and processed before reaching the speaker;The theremin changes sound through the player's position near the antennas;Electronic instruments changed music across many genres;Digital synthesizers followed earlier analog designs,Questions / engagement,How does a synthesizer work?;How does a theremin work?;How is a theremin played?
Stem Tour,US_CAN,ROCK_ROLL,United States / Canada,Rock & Roll,Concept,Effects pedals change an instrument's sound by altering its electrical signal,Key talking points,"Pedals perform signal processing on the electric waveform;Musicians can shape timbre by filtering, amplifying, or modifying certain frequencies;Distortion happens when a circuit is pushed beyond what it can reproduce cleanly;Clipped waveforms create a fuzzy, gritty, or growling sound;New technology helped expand rock and roll and other modern styles",Questions / engagement,How do pedals change the sound of an instrument?;What does it mean to distort something?;How do advancements in technology influence music?
Stem Tour,STEM_ROOM,HOW_SCIENCE_BRINGS_MUSIC_TO_LIFE,Stem,How Science Brings Music to Life,Concept,All musical sound begins with vibrations that travel as waves,Key talking points,Every instrument creates vibrations even though instruments look very different;Vibrations push air molecules into repeating patterns that form sound waves;Amplitude relates to loudness;Frequency relates to pitch;Wave behavior helps explain how instruments create many different sounds,Questions / engagement,What do all instruments have in common?;How are vibrations related to waves?;What is the difference between amplitude and frequency?
Stem Tour,STEM_ROOM,HITING_THE_RIGHT_NOTES,Stem,Hiting the Right Notes,Concept,Instrument design determines both pitch possibilities and timbre,Key talking points,"Some instruments have many fixed pitches while others change pitch by shortening strings or air columns;Tube length affects pitch in wind instruments;Timbre is the quality that makes two sounds different even at the same pitch;Most real sounds contain multiple frequencies at once;Materials, shape, and construction influence which frequencies stand out",Questions / engagement,How do instruments create different pitches?;What is timbre?;Why can two instruments sound different on the same note?
